City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
13,Severo-Kurilsk,RU,38.44,clear sky,50.6789,156.125,Kak Doma
15,Khatanga,RU,24.57,light snow,71.9667,102.5,"""Khatanga"""
35,Necochea,AR,44.74,clear sky,-38.5473,-58.7368,dyd -mar Hotel
44,Berlevag,NO,37.4,overcast clouds,70.8578,29.0864,Kvitbrakka
46,Upernavik,GL,18.32,overcast clouds,72.7868,-56.1549,Café de Upernavik
49,Hammerfest,NO,37.85,broken clouds,70.6634,23.6821,Skytterhuset
50,Nome,US,26.67,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
53,Vostok,RU,35.71,overcast clouds,46.4856,135.8833,
57,Tasiilaq,GL,33.96,snow,65.6145,-37.6368,The Red House
58,Ushuaia,AR,40.66,light rain,-54.8,-68.3,Albatross Hotel
60,Verkhnyaya Inta,RU,20.07,scattered clouds,65.9811,60.3094,
66,Saint-Augustin,CA,38.17,clear sky,51.226,-58.6502,Riverview Inn
69,Grindavik,IS,42.75,light intensity drizzle,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
79,Hami,CN,42.62,overcast clouds,42.8,93.45,Laoyutang Resort
81,Piterka,RU,32.85,overcast clouds,50.6803,47.4454,
85,High Level,CA,30.31,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
88,Longyearbyen,SJ,30.04,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
96,Pella,RU,37.45,light snow,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
99,Kuusamo,FI,24.84,light snow,65.9667,29.1833,Hotel Kuusanka
108,Thompson,CA,28.38,broken clouds,55.7435,-97.8558,Burntwood Hotel
133,Svetlogorsk,BY,33.62,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
136,Cap-Aux-Meules,CA,44.65,scattered clouds,47.3821,-61.8597,Château Madelinot
141,Demyansk,RU,31.08,overcast clouds,57.643,32.466,Demyanskaya Gostinitsa
142,Port Hardy,CA,41.18,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
146,Kotel,BG,44.15,clear sky,42.8833,26.45,Tamcac Guest House
151,Kodiak,US,33.31,clear sky,57.79,-152.4072,Best Western Kodiak Inn
154,Lavrentiya,RU,19.54,light snow,65.5833,-171.0,
159,Ayagoz,KZ,36.16,overcast clouds,47.9714,80.4392,Gostinitsa Nur
171,Dikson,RU,25.48,light snow,73.5069,80.5464,
172,Nikolskoye,RU,37.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
187,Hovd,MN,24.46,few clouds,48.0056,91.6419,Hotel Buyant
192,Chumikan,RU,34.97,light snow,54.7183,135.315,Fortuna
194,Bogorodskoye,RU,33.85,overcast clouds,56.55,37.8833,Sosnoviy Bor
196,Chapais,CA,42.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
199,Shitanjing,CN,44.51,clear sky,39.2342,106.3439,Yingbin Hotel
200,Williams Lake,CA,35.17,broken clouds,52.1415,-122.1445,Stampeder Motel
203,Tsivilsk,RU,33.01,light snow,55.8611,47.4664,Rus 689 Motel
204,Sitka,US,42.69,scattered clouds,57.0531,-135.33,Westmark Sitka
208,Korla,CN,44.56,overcast clouds,41.7597,86.1469,Gulisitan Hotel
212,Talnakh,RU,24.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
214,Klyuchi,RU,35.26,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
223,Urumqi,CN,36.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
229,Nanortalik,GL,24.42,scattered clouds,60.1432,-45.2371,Hotel Kap Farvel
231,Havre-Saint-Pierre,CA,41.0,broken clouds,50.2334,-63.5986,Auberge Niapiskau
233,Kadnikov,RU,32.77,overcast clouds,59.5022,40.338,Zolotaya Milya
234,Olafsvik,IS,44.64,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
244,Gornopravdinsk,RU,31.21,light snow,60.05,69.9,Hostel
246,Kropotkin,RU,37.67,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
252,Mehamn,NO,37.35,light rain,71.0357,27.8492,Mehamn Arctic Hotel AS
259,Tashtyp,RU,31.42,overcast clouds,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
265,Karaidel,RU,32.13,overcast clouds,55.8337,56.9069,Karaidel'
277,Deer Lake,CA,37.26,clear sky,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
279,Provideniya,RU,23.36,light shower snow,64.3833,-173.3,
281,Pyshchug,RU,32.7,light snow,58.8873,45.7134,
282,Havoysund,NO,39.43,light rain,70.9963,24.6622,Arctic View Glamping & Restaurant
290,Maniitsoq,GL,23.32,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
303,Salair,RU,31.01,light snow,54.2312,85.7972,Гостевой Дом на Заречной
304,Tabory,RU,36.05,overcast clouds,58.5198,64.5495,
305,Ornskoldsvik,SE,38.35,clear sky,63.2909,18.7153,ファーストホテル スタット
313,Asau,RO,38.32,clear sky,46.4333,26.4,Casa Mika Ciobanus
314,Hofn,IS,43.9,overcast clouds,64.2539,-15.2082,Hótel Höfn
318,Togul,RU,32.61,light snow,53.465,85.9128,
319,Tigil,RU,22.98,overcast clouds,57.8,158.6667,Tigil'
320,Altay,CN,29.88,overcast clouds,47.8667,88.1167,Jinqiao Hotel
325,Urengoy,RU,23.97,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
328,Skjervoy,NO,35.6,overcast clouds,70.0311,20.9714,Tschudi Marine Services AS
331,Koshurnikovo,RU,27.09,overcast clouds,54.1667,93.3,Outskirts Manor
335,La Ronge,CA,34.05,broken clouds,55.1001,-105.2842,Northland Motor Hotel
338,Kargil,IN,30.92,overcast clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
353,Ust-Tsilma,RU,33.35,light snow,65.441,52.1498,U Praskov'i
365,Ilulissat,GL,24.82,overcast clouds,69.2167,-51.1,Hotel Arctic
373,Krasnaya Gora,RU,30.79,clear sky,52.9995,31.6023,
