City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Chokurdakh,RU,70.6333,147.9167,-15.83,100,58,5.06,broken clouds
1,Bac Lieu,VN,9.285,105.7244,79.03,81,100,7.43,overcast clouds
2,Kamaishi,JP,39.2667,141.8833,57.85,64,91,8.7,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,71.44,79,30,13.76,light rain
4,Pisco,PE,-13.7,-76.2167,61.02,88,0,9.22,clear sky
5,Port Elizabeth,ZA,-33.918,25.5701,57.09,92,40,3.44,scattered clouds
6,Castro,BR,-24.7911,-50.0119,60.89,98,98,6.31,overcast clouds
7,Saint-Pierre,RE,-21.3393,55.4781,76.57,68,75,6.91,broken clouds
8,Busselton,AU,-33.65,115.3333,61.7,66,92,6.96,overcast clouds
9,Bluff,NZ,-46.6,168.3333,65.8,64,100,8.61,overcast clouds
10,Werda,BW,-25.2667,23.2833,77.16,20,100,6.2,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,65.48,44,100,4.52,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,57.79,76,2,21.74,clear sky
13,Severo-Kurilsk,RU,50.6789,156.125,38.44,71,6,13.49,clear sky
14,Hilo,US,19.7297,-155.09,79.25,87,100,9.22,overcast clouds
15,Khatanga,RU,71.9667,102.5,24.57,93,100,21.23,light snow
16,Vaini,TO,-21.2,-175.2,82.56,83,75,8.05,broken clouds
17,Carlisle,US,40.2015,-77.1889,58.64,92,100,2.06,overcast clouds
18,Luderitz,NA,-26.6481,15.1594,58.93,80,100,12.41,overcast clouds
19,Mattru,SL,7.6244,-11.8332,74.01,95,100,2.39,overcast clouds
20,Xapuri,BR,-10.6517,-68.5044,75.09,85,73,1.3,broken clouds
21,Georgetown,MY,5.4112,100.3354,82.89,83,20,1.01,few clouds
22,Bredasdorp,ZA,-34.5322,20.0403,55.92,79,22,12.93,few clouds
23,Hithadhoo,MV,-0.6,73.0833,81.0,78,84,13.42,broken clouds
24,Ribeira Grande,PT,38.5167,-28.7,63.46,66,100,9.55,overcast clouds
25,Popondetta,PG,-8.7537,148.2534,94.01,47,52,5.79,broken clouds
26,Acarau,BR,-2.8856,-40.12,78.53,83,26,15.46,scattered clouds
27,Anadyr,RU,64.75,177.4833,16.3,78,40,33.55,light snow
28,Carnarvon,AU,-24.8667,113.6333,70.81,32,0,18.25,clear sky
29,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,40,10.65,scattered clouds
30,Suntar,RU,62.1444,117.6319,13.71,95,87,3.04,overcast clouds
31,Punta Arenas,CL,-53.15,-70.9167,46.51,81,100,29.93,light rain
32,Beihai,CN,21.4833,109.1,70.47,54,99,24.67,overcast clouds
33,Rio Gallegos,AR,-51.6226,-69.2181,57.25,35,0,25.32,clear sky
34,Barrow,US,71.2906,-156.7887,-7.58,84,0,13.8,clear sky
35,Necochea,AR,-38.5473,-58.7368,44.74,70,5,7.47,clear sky
36,Ratnagiri,IN,16.9833,73.3,72.21,62,5,8.05,clear sky
37,Port Alfred,ZA,-33.5906,26.891,56.17,95,98,11.12,overcast clouds
38,Saldanha,ZA,-33.0117,17.9442,60.85,68,0,14.23,clear sky
39,Hue,VN,16.4667,107.6,75.31,78,75,6.91,broken clouds
40,Abu Dhabi,AE,24.4667,54.3667,77.02,83,6,2.3,clear sky
41,Namibe,AO,-15.1961,12.1522,70.21,72,0,9.15,clear sky
42,Puerto Ayora,EC,-0.7393,-90.3518,67.21,86,82,9.86,broken clouds
43,Bara,NG,10.3744,10.7288,73.89,33,41,4.85,scattered clouds
44,Berlevag,NO,70.8578,29.0864,37.4,75,100,9.22,overcast clouds
45,Brainerd,US,46.358,-94.2008,53.85,57,0,0.0,clear sky
46,Upernavik,GL,72.7868,-56.1549,18.32,66,90,3.36,overcast clouds
47,Miles City,US,46.4083,-105.8406,56.37,47,0,12.66,clear sky
48,Ronne,DK,55.1009,14.7066,53.51,100,100,5.75,mist
49,Hammerfest,NO,70.6634,23.6821,37.85,87,75,0.0,broken clouds
50,Nome,US,64.5011,-165.4064,26.67,63,40,6.91,scattered clouds
51,Saskylakh,RU,71.9167,114.0833,11.95,92,100,14.67,overcast clouds
52,Shimoda,JP,34.6667,138.95,62.96,71,100,14.18,moderate rain
53,Vostok,RU,46.4856,135.8833,35.71,97,100,3.76,overcast clouds
54,Atuona,PF,-9.8,-139.0333,76.87,71,1,11.48,clear sky
55,Loei,TH,17.4167,101.5,65.12,77,100,2.82,overcast clouds
56,Demba,CD,-5.51,22.2667,68.34,98,100,1.68,overcast clouds
57,Tasiilaq,GL,65.6145,-37.6368,33.96,97,100,14.29,snow
58,Ushuaia,AR,-54.8,-68.3,40.66,87,75,18.41,light rain
59,Babina,IN,25.25,78.4667,65.98,52,0,4.34,clear sky
